theta_z(twist)(deg), theta_y (lean FB)(deg), theta_x (lean LR)(deg)
-13.854243098947,-2.45769127286698,1.6959741842771
-24.3755317929431,-4.18992135040448,2.91206486100314
-22.0277699691508,-3.66728617598413,2.5787579264206
-23.4343041108312,-3.89556994684596,2.76399201352402
-22.117496430059,-3.69489815872732,2.64592428043477
-21.9264647623965,-3.74414967442239,2.71847198980629
-20.5020922420173,-3.60149020170559,2.67993007177415
-19.3910880048828,-3.53285233848235,2.70777436439651
-17.6513262887712,-3.38319182645614,2.67085959096311
-15.8569968319251,-3.28336643265882,2.68722339348598
-13.7372821827521,-3.16354746463181,2.68620834837627
-11.5669863363182,-3.05456742040132,2.70450897879447
-9.15517328449341,-2.96480670050382,2.71703489069805
-6.54084678822958,-2.87453122057077,2.70979824533616
-4.02466002748723,-2.79211730682218,2.71076370419238
-1.53202558989757,-2.70838970086947,2.73031783088717
0.751615735843203,-2.63709325254527,2.73791541282669
2.83491911934155,-2.56988078384356,2.76428277148304
4.58280411254354,-2.50143621674147,2.76736290387723
6.15585414074544,-2.4462409210441,2.79280667411398
7.62002168222015,-2.3764943783503,2.79735415704593
8.94903916765563,-2.29424848800444,2.80173746775521
10.2344602029547,-2.16352607195906,2.81015937258654
11.5357267482182,-2.01422782483591,2.82997392488552
12.8746610157473,-1.92342528421725,2.87009244431381
14.1017473350829,-1.8365420877371,2.91406768098365
15.1572578052609,-1.76709882212066,2.95107368756656
16.1092476586991,-1.69676887723247,2.97915640574238
16.9434846467798,-1.65446044757993,3.00735266573647
17.5352562541639,-1.62126641950175,3.01770291359556
17.7762151285799,-1.62509586190109,3.02866211662194
17.4675240013028,-1.62700451724071,3.01644955722075
16.7322841846151,-1.64633742113049,3.00762534685882
15.799399629869,-1.66967118640071,2.99304304713365
14.8685796978502,-1.72557746702103,2.98789000368257
13.5879264408393,-1.79787484958353,2.97654306514147
11.8238699570737,-1.84162766666635,2.95630190783352
10.1826602567859,-1.87566603953546,2.93092685671745
8.60631882295382,-1.91970887184225,2.9185588918125
7.00036796197208,-1.97414820206648,2.90751402086534
5.25742509704731,-2.00160913155735,2.90548094917181
3.51205845805161,-2.03823652969819,2.88704543801265
1.83320136414306,-2.10088219094036,2.88684683125357
0.0337078632971458,-2.14344995362162,2.86348914767273
-1.84014281990196,-2.18136051695304,2.8385847359406
-3.91260825665638,-2.1865852329257,2.8108525240667
-6.19581400939181,-2.19771870249914,2.81573449062591
-8.47335865808012,-2.21221316324745,2.78899634756446
-10.8217897482707,-2.21876301597864,2.75108785726099
-13.2608055012027,-2.23014769839176,2.71941287888088
-15.7979388271276,-2.27393022407163,2.66765238857067
-18.5429630665184,-2.32064737889153,2.63456455026294
-21.370419185553,-2.39637234934519,2.5923785033835
-24.2691212594802,-2.45289514414611,2.52501567148042
-27.4613904822691,-2.50189324507563,2.4427339516013
-30.4671628609141,-2.51241857069376,2.38953372124598
-33.3722496680575,-2.49788832798804,2.346407780446
-36.3418996299807,-2.45875161800799,2.30199730834312
-39.1475540450379,-2.38479171874176,2.25249592917097
-42.1454432284798,-2.28553280567127,2.22161962132239
-45.1266095118368,-2.16187744538569,2.22327233161414
-48.0358637777721,-2.02728203031945,2.24167493366177
-50.6814651545114,-1.87629418576294,2.26792304416479
-53.1454258950656,-1.72585238930629,2.30561383593492
-55.3312570508383,-1.59753793837103,2.35798041399221
-57.0457502298139,-1.50352931021327,2.42034538335989
-58.0987372426869,-1.44067789409853,2.46126241314078
-58.8266981982644,-1.38077586816516,2.50872016908202
-58.6043898181926,-1.37350677021619,2.51658716141376
-57.7673925505259,-1.39987698362887,2.51592126688018
-56.609075679392,-1.41485742474339,2.50379763830148
-54.5731923725411,-1.47387620131103,2.46448422044488
-51.6346252599581,-1.55388506753645,2.38420376002544
-48.0392810019545,-1.65641974789717,2.29830263288331
-44.0005958942627,-1.78633714802253,2.23615054923841
-39.6769772273824,-1.90522495354413,2.1769436184941
-35.9718055265684,-1.96712224262053,2.15560734926794
-33.2658271505086,-1.89716415704941,2.21874561628903
-30.7409768560252,-1.78165300510898,2.28183546545247
-27.8532663148976,-1.67269479628812,2.33738596858266
-24.9032241775123,-1.52140533417168,2.40097409699358
-22.1318308117736,-1.35085701879357,2.46108963323962
-19.2728773249966,-1.15995383354209,2.51871110904852
-16.1656303858588,-0.960683126423984,2.53972008354197
-12.9582548725825,-0.78960234401786,2.57554608323598
-9.74701000336708,-0.653054667382656,2.64408610374186
-6.43453122038041,-0.497013364244874,2.67424718366672
-3.29459994484405,-0.370958124904481,2.68419507834628
-0.405983692713942,-0.266826677348675,2.69170491754754
2.18206285018525,-0.174582944069327,2.69001979828662
4.59459968133712,-0.122865599659127,2.70943504477469
6.83156040939311,-0.0864101060589225,2.73146779679505
9.0838154169952,-0.0988210339049005,2.79058141231714
11.3745673496718,-0.0928571831941519,2.84102826154426
13.491331514785,-0.0766486890465224,2.87208413348001
15.2068797135594,-0.0857381967196187,2.91410890838246
16.8524000805175,-0.100329891430269,2.93536266151932
18.3164535462024,-0.118462009512382,2.94971495066086
19.682702879562,-0.127234704362905,2.93602328795562
20.9473895872723,-0.128975686016519,2.9145388343441
22.124770965886,-0.128320537233285,2.88586099683956
23.0910521351018,-0.122796866454338,2.84079681554792
23.5218374984782,-0.105036621946443,2.77412636553405
23.4268231867999,-0.102082728099666,2.73976830232895
22.7818376931415,-0.0929846960878213,2.67752401265479
21.7505453389061,-0.0871881386951634,2.67447923506135
20.2675359078969,-0.0866605944108663,2.67022407296255
18.2912929644854,-0.0595952514932246,2.66864665801839
15.708767598084,-0.0444093089158409,2.67842773287384
12.8069983023709,-0.0465747806684153,2.71695086324243
9.62566969192785,-0.0821494698114048,2.75933606329144
6.79096956867202,-0.121577069858857,2.78590434612739
3.99314477500422,-0.18316287096098,2.8062401604938
1.17232460264323,-0.261284579598311,2.80715257287347
-1.57800008884617,-0.366918025043549,2.78922015609393
-4.32745537252844,-0.482650454081485,2.77233558397866
-6.73047161744514,-0.60118774853235,2.72232513362492
-9.06175469552789,-0.733993082745316,2.67070645388396
-11.3640194672071,-0.79883526356405,2.58997523451892
-13.6714291119153,-0.81018270831079,2.52013435202632
-16.1087532732838,-0.828956262208788,2.46824285882932
-18.4858940304292,-0.848228177953589,2.41755831690854
-20.9598111621874,-0.88257257794838,2.41194748100972
-23.6809857487881,-0.882347142149578,2.37650924734597
-26.7536961492369,-0.835760379437746,2.38072989239485
-30.0025456491429,-0.782627538896926,2.38723707066142
-32.7725715470473,-0.702282920465475,2.4107278996582
-35.2536539820503,-0.649429243676211,2.44082901136149
-37.4160698144923,-0.608977745335983,2.46456314852329
-39.5163096313664,-0.56373739982094,2.49473540974979
-41.6414363491386,-0.524965208054424,2.52234106583329
-43.7501948307422,-0.497338660420062,2.55017430345938
-45.8702220379446,-0.479018550736612,2.56812675873826
-47.8730303707827,-0.457597402806014,2.5434602577207
